IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.102.111.127,443,443,true,LAX,North America,Los Angeles,165,16.38
154.17.231.208,64155,443,true,LAX,North America,Los Angeles,175,12.81
23.166.168.99,51056,443,true,LAX,North America,Los Angeles,178,12.23
154.17.230.212,54718,443,true,LAX,North America,Los Angeles,167,11.50
154.21.89.73,27629,443,true,LAX,North America,Los Angeles,167,11.48
154.17.228.15,18478,443,true,LAX,North America,Los Angeles,178,11.43
38.47.114.55,34237,2096,true,LAX,North America,Los Angeles,178,11.29
34.36.41.236,80,80,false,LAX,North America,Los Angeles,175,11.25
154.17.231.6,34237,2096,true,LAX,North America,Los Angeles,177,10.95
154.17.9.70,882,443,true,LAX,North America,Los Angeles,178,10.58
207.60.50.213,26114,443,true,LAX,North America,Los Angeles,164,10.09
154.21.89.40,11888,443,true,LAX,North America,Los Angeles,174,10.08
154.17.231.85,30816,443,true,LAX,North America,Los Angeles,178,9.82
45.91.82.74,443,443,true,LAX,North America,Los Angeles,175,9.53
154.17.229.171,12601,443,true,LAX,North America,Los Angeles,181,9.43
154.17.228.123,19063,443,true,LAX,North America,Los Angeles,175,8.87
154.9.251.214,34237,2096,true,LAX,North America,Los Angeles,183,8.80
154.17.227.4,22808,443,true,LAX,North America,Los Angeles,174,8.74
172.247.129.59,34237,2096,true,LAX,North America,Los Angeles,205,8.01
2.59.151.192,10815,443,true,LAX,North America,Los Angeles,188,7.84
23.224.33.238,19595,443,true,LAX,North America,Los Angeles,196,7.83
154.17.226.204,31380,443,true,LAX,North America,Los Angeles,177,7.59
34.36.237.86,80,80,false,LAX,North America,Los Angeles,182,7.52
154.17.9.71,882,443,true,LAX,North America,Los Angeles,178,7.46
154.17.229.59,8443,443,true,LAX,North America,Los Angeles,178,7.15
154.17.229.161,24126,443,true,LAX,North America,Los Angeles,180,7.13
23.165.40.192,24972,443,true,LAX,North America,Los Angeles,164,6.96
154.17.1.71,4403,443,true,LAX,North America,Los Angeles,183,6.90
154.21.92.8,32011,443,true,LAX,North America,Los Angeles,181,6.89
154.17.2.10,54552,443,true,LAX,North America,Los Angeles,177,6.88
2.59.151.232,15110,443,true,LAX,North America,Los Angeles,184,6.76
23.165.40.187,50003,443,true,LAX,North America,Los Angeles,167,6.69
23.224.33.146,39258,443,true,LAX,North America,Los Angeles,211,6.67
45.91.81.203,8081,443,true,LAX,North America,Los Angeles,166,6.51
154.17.230.16,443,443,true,LAX,North America,Los Angeles,178,6.47
207.60.50.167,46652,443,true,LAX,North America,Los Angeles,182,6.42
34.117.254.68,80,80,false,LAX,North America,Los Angeles,183,6.06
2.59.151.192,22115,443,true,LAX,North America,Los Angeles,182,6.00
