IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.191.110,80,80,false,SIN,Asia Pacific,Singapore,253,17.92
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,264,14.98
8.219.60.54,2082,2082,false,SIN,Asia Pacific,Singapore,254,13.82
8.219.110.81,80,80,false,SIN,Asia Pacific,Singapore,262,13.49
47.237.82.15,80,80,false,SIN,Asia Pacific,Singapore,263,12.51
47.237.100.206,2052,2052,false,SIN,Asia Pacific,Singapore,256,12.47
47.236.164.215,2052,2052,false,SIN,Asia Pacific,Singapore,255,12.37
47.237.14.220,80,80,false,SIN,Asia Pacific,Singapore,259,12.04
8.219.114.201,80,80,false,SIN,Asia Pacific,Singapore,253,11.48
47.236.130.95,2086,2086,false,SIN,Asia Pacific,Singapore,254,11.46
8.222.137.192,2083,2083,true,SIN,Asia Pacific,Singapore,252,11.42
47.236.189.92,2095,2095,false,SIN,Asia Pacific,Singapore,256,11.13
47.236.170.225,2095,2095,false,SIN,Asia Pacific,Singapore,262,11.05
47.237.100.206,8080,8080,false,SIN,Asia Pacific,Singapore,258,10.27
8.219.78.188,8880,8880,false,SIN,Asia Pacific,Singapore,260,10.18
8.219.222.98,2083,2083,true,SIN,Asia Pacific,Singapore,259,10.06
8.222.183.242,2082,2082,false,SIN,Asia Pacific,Singapore,251,10.05
47.237.11.182,2082,2082,false,SIN,Asia Pacific,Singapore,251,9.94
8.222.156.242,2053,2053,true,SIN,Asia Pacific,Singapore,261,9.67
47.237.0.31,2095,2095,false,SIN,Asia Pacific,Singapore,264,9.60
8.219.78.1,2095,2095,false,SIN,Asia Pacific,Singapore,253,9.47
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,250,9.36
47.236.117.48,2052,2052,false,SIN,Asia Pacific,Singapore,251,9.19
47.237.95.140,2052,2052,false,SIN,Asia Pacific,Singapore,265,9.07
8.222.183.242,2053,2053,true,SIN,Asia Pacific,Singapore,257,8.79
8.219.202.130,8880,8880,false,SIN,Asia Pacific,Singapore,257,8.77
47.237.83.20,2082,2082,false,SIN,Asia Pacific,Singapore,260,8.77
47.237.0.31,2082,2082,false,SIN,Asia Pacific,Singapore,253,8.73
8.219.49.65,2053,2053,true,SIN,Asia Pacific,Singapore,259,8.50
47.237.81.112,2087,2087,true,SIN,Asia Pacific,Singapore,258,8.45
8.219.199.220,8080,8080,false,SIN,Asia Pacific,Singapore,256,8.40
47.237.83.20,8880,8880,false,SIN,Asia Pacific,Singapore,254,8.38
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,256,8.33
47.236.205.188,2082,2082,false,SIN,Asia Pacific,Singapore,266,8.26
47.236.205.188,2052,2052,false,SIN,Asia Pacific,Singapore,256,8.02
47.236.232.148,8080,8080,false,SIN,Asia Pacific,Singapore,257,8.00
47.236.80.110,2083,2083,true,SIN,Asia Pacific,Singapore,260,7.98
47.236.202.91,2095,2095,false,SIN,Asia Pacific,Singapore,259,7.94
8.219.199.220,2095,2095,false,SIN,Asia Pacific,Singapore,270,7.90
47.236.17.193,2095,2095,false,SIN,Asia Pacific,Singapore,252,7.85
47.236.205.188,2053,2053,true,SIN,Asia Pacific,Singapore,266,7.78
47.236.170.225,2083,2083,true,SIN,Asia Pacific,Singapore,271,7.76
47.236.169.164,2082,2082,false,SIN,Asia Pacific,Singapore,259,7.75
47.236.165.25,2087,2087,true,SIN,Asia Pacific,Singapore,272,7.73
8.219.114.201,8880,8880,false,SIN,Asia Pacific,Singapore,257,7.70
47.237.0.31,2053,2053,true,SIN,Asia Pacific,Singapore,255,7.68
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,256,7.68
47.236.97.90,8443,8443,true,SIN,Asia Pacific,Singapore,259,7.66
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,264,7.65
8.219.60.54,80,80,false,SIN,Asia Pacific,Singapore,265,7.65
47.237.86.185,2053,2053,true,SIN,Asia Pacific,Singapore,271,7.62
8.219.77.222,2053,2053,true,SIN,Asia Pacific,Singapore,258,7.61
47.237.0.31,2086,2086,false,SIN,Asia Pacific,Singapore,253,7.61
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,265,7.60
8.219.191.110,2095,2095,false,SIN,Asia Pacific,Singapore,246,7.58
8.222.137.192,80,80,false,SIN,Asia Pacific,Singapore,262,7.50
8.222.193.65,8080,8080,false,SIN,Asia Pacific,Singapore,266,7.36
47.236.165.25,2052,2052,false,SIN,Asia Pacific,Singapore,267,7.32
47.237.95.140,2086,2086,false,SIN,Asia Pacific,Singapore,254,7.30
8.222.208.38,8080,8080,false,SIN,Asia Pacific,Singapore,259,7.30
47.236.164.215,8080,8080,false,SIN,Asia Pacific,Singapore,261,7.29
47.237.11.182,2052,2052,false,SIN,Asia Pacific,Singapore,254,7.21
47.236.17.193,80,80,false,SIN,Asia Pacific,Singapore,274,7.21
8.222.165.117,2052,2052,false,SIN,Asia Pacific,Singapore,259,7.10
8.222.144.50,8880,8880,false,SIN,Asia Pacific,Singapore,267,7.10
8.222.156.242,8080,8080,false,SIN,Asia Pacific,Singapore,250,7.10
47.236.144.208,2083,2083,true,SIN,Asia Pacific,Singapore,258,7.09
